bytes_in,bytes_out,total_bytes,bytes_out_in_ratio,creation_time_dt,end_time_dt,src_ip,is_repeated_src_ip_flag,src_ip_country_code,event_time_dt,attack_hour
5602,12990,18592,2.318814709,2024-04-25 23:00:00,2024-04-25 23:10:00,147.161.161.82,1,AE,2024-04-25 23:00:00,23
30912,18186,49098,0.588315217,2024-04-25 23:00:00,2024-04-25 23:10:00,165.225.33.6,1,US,2024-04-25 23:00:00,23
28506,13468,41974,0.472461938,2024-04-25 23:00:00,2024-04-25 23:10:00,165.225.212.255,1,CA,2024-04-25 23:00:00,23
30546,14278,44824,0.467426177,2024-04-25 23:00:00,2024-04-25 23:10:00,136.226.64.114,1,US,2024-04-25 23:00:00,23
6526,13892,20418,2.128715906,2024-04-25 23:00:00,2024-04-25 23:10:00,165.225.240.79,1,NL,2024-04-25 23:00:00,23
3906,3488,7394,0.892985151,2024-04-25 23:00:00,2024-04-25 23:10:00,136.226.77.103,1,CA,2024-04-25 23:00:00,23
17748,29208,46956,1.645706558,2024-04-25 23:00:00,2024-04-25 23:10:00,165.225.26.101,1,DE,2024-04-25 23:00:00,23
4767917,291520,5059437,0.061142004,2024-04-25 23:00:00,2024-04-25 23:10:00,155.91.45.242,1,US,2024-04-25 23:00:00,23
10538,15514,26052,1.472195863,2024-04-25 23:00:00,2024-04-25 23:10:00,165.225.209.4,1,CA,2024-04-25 23:00:00,23
9656,6380,16036,0.66072908,2024-04-25 23:00:00,2024-04-25 23:10:00,147.161.131.1,1,AT,2024-04-25 23:00:00,23
57208,32874,90082,0.574639911,2024-04-25 23:10:00,2024-04-25 23:20:00,165.225.33.6,1,US,2024-04-25 23:10:00,23
18162,30492,48654,1.67888999,2024-04-25 23:10:00,2024-04-25 23:20:00,136.226.67.101,1,US,2024-04-25 23:10:00,23
28056,4832,32888,0.172226975,2024-04-25 23:10:00,2024-04-25 23:20:00,165.225.212.255,1,CA,2024-04-25 23:10:00,23
73752,18924,92676,0.256589652,2024-04-25 23:10:00,2024-04-25 23:20:00,136.226.64.114,1,US,2024-04-25 23:10:00,23
4080,11282,15362,2.765196078,2024-04-25 23:10:00,2024-04-25 23:20:00,94.188.248.74,1,IL,2024-04-25 23:10:00,23
1968903,38773,2007676,0.019692692,2024-04-25 23:10:00,2024-04-25 23:20:00,165.225.240.79,1,NL,2024-04-25 23:10:00,23
6958,12854,19812,1.847369934,2024-04-25 23:10:00,2024-04-25 23:20:00,136.226.77.103,1,CA,2024-04-25 23:10:00,23
8310,6276,14586,0.755234657,2024-04-25 23:10:00,2024-04-25 23:20:00,165.225.26.101,1,DE,2024-04-25 23:10:00,23
4804723,291088,5095811,0.060583721,2024-04-25 23:10:00,2024-04-25 23:20:00,155.91.45.242,1,US,2024-04-25 23:10:00,23
11820,24620,36440,2.082910321,2024-04-25 23:10:00,2024-04-25 23:20:00,165.225.209.4,1,CA,2024-04-25 23:10:00,23
8206,6068,14274,0.739458932,2024-04-25 23:10:00,2024-04-25 23:20:00,147.161.131.1,1,AT,2024-04-25 23:10:00,23
29356,17408,46764,0.592996321,2024-04-25 23:20:00,2024-04-25 23:30:00,165.225.33.6,1,US,2024-04-25 23:20:00,23
26178,33801,59979,1.291198716,2024-04-25 23:20:00,2024-04-25 23:30:00,136.226.67.101,1,US,2024-04-25 23:20:00,23
29308,15652,44960,0.534052136,2024-04-25 23:20:00,2024-04-25 23:30:00,165.225.213.7,1,CA,2024-04-25 23:20:00,23
60068,12628,72696,0.210228408,2024-04-25 23:20:00,2024-04-25 23:30:00,136.226.64.114,1,US,2024-04-25 23:20:00,23
4043,7629,11672,1.886965125,2024-04-25 23:20:00,2024-04-25 23:30:00,165.225.240.79,1,NL,2024-04-25 23:20:00,23
3102,11038,14140,3.558349452,2024-04-25 23:20:00,2024-04-25 23:30:00,165.225.8.79,1,US,2024-04-25 23:20:00,23
8310,6070,14380,0.730445247,2024-04-25 23:20:00,2024-04-25 23:30:00,165.225.26.101,1,DE,2024-04-25 23:20:00,23
5528,12010,17538,2.172575977,2024-04-25 23:20:00,2024-04-25 23:30:00,165.225.209.4,1,CA,2024-04-25 23:20:00,23
4926,11570,16496,2.348761673,2024-04-25 23:20:00,2024-04-25 23:30:00,147.161.131.1,1,AT,2024-04-25 23:20:00,23
7724,6288,14012,0.814085966,2024-04-25 23:20:00,2024-04-25 23:30:00,136.226.80.97,1,US,2024-04-25 23:20:00,23
